French,English
histoire,history
seulement,only
pensais,thought
demande,request
genre,kind
laisser,let
car,because
mettre,to put
aucun,no
laisse,leash
eux,them
ville,city
chaque,each
devrait,should
bébé,baby
longtemps,long time
heures,hours
pendant,while
revoir,meet again
compris,understood
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
yeux,eyes
façon,way
dont,whose
trouve,find
perdu,lost
main,hand
première,first
tiens,here
matin,morning
tellement,so much
enfant,child
point,point
devant,in front of
vers,towards
minutes,minutes
chambre,bedroom
mis,placed
aimerais,would like to
cause,cause
attendez,Wait
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
loin,far
croire,believe
plutôt,rather
